name	DH-1MA	DH-4MA	DH-5MA	DL-4MA	DL-5MA	DL-6MA	WH-1MA	WH-2MA	WH-3MA	WL-1MA	WL-3MA	WL-6MA
TRINITY_DN100006_c0_g1_i1	0	0	0	0	0	0	0	0	1	0	0	0
TRINITY_DN100014_c0_g1_i1	0	0	0	0	0	0	0	0	3	0	0	0
TRINITY_DN100027_c0_g1_i1	0	0	0	0	0	0	2	0	0	1	0	1
TRINITY_DN100040_c0_g1_i1	0	2	0	0	0	0	0	0	0	0	0	0
TRINITY_DN100067_c0_g1_i1	199	140	159	186	160	158	163	173	433	246	214	251
TRINITY_DN100085_c0_g1_i1	140	161	82	128	69	65	97	82	60	65	84	67
TRINITY_DN100122_c0_g1_i1	0	1	0	0	0	0	0	0	5	0	0	0
TRINITY_DN100127_c0_g1_i1	2	0	0	0	2	6	1	0	1	1	0	4
TRINITY_DN100142_c0_g1_i1	0	0	0	5	0	0	0	0	3	1	0	1
